t;vc_A_capital;vc_A_cuprum;vc_A_habitat;vc_A_planvital;vc_A_provida;vc_A_modelo;vc_A_santa maria;vc_A_magister;vp_A_capital;vp_A_cuprum;vp_A_habitat;vp_A_planvital;vp_A_provida;vp_A_modelo;vp_A_santa maria;vp_A_magister;vp_A_total;uf;ret_vc_A_capital;ret_vc_A_cuprum;ret_vc_A_habitat;ret_vc_A_planvital;ret_vc_A_provida;ret_vc_A_modelo;ret_vc_A_sm;ret_vc_A_magister;pond_vp_A_capital;pond_vp_A_cuprum;pond_vp_A_habitat;pond_vp_A_planvital;pond_vp_A_provida;pond_vp_A_modelo;pond_vp_A_sm;pond_vp_A_magister;ret_pond_A;ret_anual_pond_A;ds_anual_pond_A;ret_riesgo_A
27-09-2002;10000.00000000000000000000;10000.00000000000000000000;10000.00000000000000000000;9999.99000000000000000000;10000.00000000000000000000;;9999.85000000000000000000;10000.00000000000000000000;18634109458.00000000000000000000;17447871024.00000000000000000000;31801452952.00000000000000000000;752330900.00000000000000000000;15926508163.00000000000000000000;;6486033283.00000000000000000000;2501621230.00000000000000000000;93549927010.00000000000000000000;16448.46000000000000000000;;;;;;;;;;;;;;;;;;;;
30-09-2002;10084.10000000000000000000;10038.80000000000000000000;10071.85000000000000000000;10109.51000000000000000000;10091.30000000000000000000;;10084.63000000000000000000;10028.39000000000000000000;18790815447.00000000000000000000;17515576796.00000000000000000000;32027953263.00000000000000000000;760570465.00000000000000000000;16071912827.00000000000000000000;;6541023273.00000000000000000000;2508724233.00000000000000000000;94216576304.00000000000000000000;16455.03000000000000000000;0.00797548324223949000;0.00347314247393349000;0.00675996112512016000;0.01049312225984700000;0.00868922376839064000;;0.00804303996094436000;0.00243562791072779000;0.19944277519031700000;0.18590759166926300000;0.33993968491975700000;0.00807257591855107000;0.17058476817436300000;0.00000000000000000000;0.06942539762742680000;0.02662720650032250000;0.00672451608208254000;;;
01-10-2002;10035.30000000000000000000;9988.76000000000000000000;10019.64000000000000000000;10049.51000000000000000000;10047.81000000000000000000;;10022.57000000000000000000;9992.14000000000000000000;18699893873.00000000000000000000;17428269325.00000000000000000000;31861866172.00000000000000000000;756056660.00000000000000000000;16019218427.00000000000000000000;;6500768893.00000000000000000000;2499655671.00000000000000000000;93765729021.00000000000000000000;16457.22000000000000000000;-0.00498412995635722000;-0.00513020552341158000;-0.00533031813932509000;-0.00608576904357046000;-0.00445204733877825000;;-0.00630601393473025000;-0.00375436785841980000;0.19943207468489800000;0.18587035484037800000;0.33980289498804100000;0.00806325155143487000;0.17084299982792500000;0.00000000000000000000;0.06932990294933950000;0.02665852115798270000;-0.00510575947218160000;;;
02-10-2002;9926.50000000000000000000;9915.49000000000000000000;9923.79000000000000000000;9916.58000000000000000000;9924.25000000000000000000;;9902.44000000000000000000;9927.41000000000000000000;18497153085.00000000000000000000;17300413441.00000000000000000000;31552784047.00000000000000000000;746055590.00000000000000000000;15822177171.00000000000000000000;;6422853945.00000000000000000000;2483462753.00000000000000000000;92824900032.00000000000000000000;16459.41000000000000000000;-0.01103399195222360000;-0.00749534345063163000;-0.00974532552372076000;-0.01344883674757330000;-0.01250650678363660000;;-0.01219142181546340000;-0.00663222911798735000;0.19926930251067700000;0.18637686046562900000;0.33991724242226700000;0.00803723558811061000;0.17045186329902400000;0.00000000000000000000;0.06919322232273690000;0.02675427339155620000;-0.01016915172428360000;;;
03-10-2002;9979.10000000000000000000;9959.10000000000000000000;9972.47000000000000000000;9966.25000000000000000000;9985.89000000000000000000;;9954.79000000000000000000;9947.00000000000000000000;18595166767.00000000000000000000;17376509670.00000000000000000000;31706261320.00000000000000000000;749792555.00000000000000000000;15920224198.00000000000000000000;;6456805711.00000000000000000000;2488362604.00000000000000000000;93293122825.00000000000000000000;16461.60000000000000000000;0.00515191150512666000;0.00425547951061967000;0.00476034600070252000;0.00486323530899237000;0.00605879389280871000;;0.00513960521086399000;0.00183833417858386000;0.19931980197383900000;0.18625713390037300000;0.33985636196866200000;0.00803695419657531000;0.17064735015745200000;0.00000000000000000000;0.06920987866503010000;0.02667251913806860000;0.00491507245049319000;;;
04-10-2002;9945.21000000000000000000;9945.12000000000000000000;9960.73000000000000000000;9984.54000000000000000000;9990.35000000000000000000;;9964.87000000000000000000;9966.79000000000000000000;18531758158.00000000000000000000;17352110885.00000000000000000000;31668924323.00000000000000000000;751168350.00000000000000000000;15927235845.00000000000000000000;;6463344187.00000000000000000000;2493313416.00000000000000000000;93187855164.00000000000000000000;16463.79000000000000000000;-0.00353490571162368000;-0.00153775550695911000;-0.00131096247398733000;0.00170048383111941000;0.00031350244840587600;;0.00087903751614533200;0.00185454002640780000;0.19886452076170500000;0.18620571161834600000;0.33983960964941500000;0.00806079664220224000;0.17091536034357600000;0.00000000000000000000;0.06935822458436510000;0.02675577640039090000;-0.00125694538614417000;;;
07-10-2002;9926.96000000000000000000;9940.09000000000000000000;9938.03000000000000000000;9927.20000000000000000000;9976.82000000000000000000;;9928.13000000000000000000;9962.33000000000000000000;18494909836.00000000000000000000;20450426571.00000000000000000000;31596550633.00000000000000000000;746854154.00000000000000000000;15728359447.00000000000000000000;;6439513341.00000000000000000000;2492199448.00000000000000000000;95948813430.00000000000000000000;16470.36000000000000000000;-0.00223571800287616000;-0.00090488161055612500;-0.00268052815763153000;-0.00615841019049585000;-0.00175420277446325000;;-0.00409274379032874000;-0.00084656421898622500;0.19275808813928800000;0.21313892105523200000;0.32930631972902300000;0.00778388108514621000;0.16392448103044800000;0.00000000000000000000;0.06711404873910170000;0.02597426022176080000;-0.00213869567809090000;;;
08-10-2002;9868.36000000000000000000;9911.77000000000000000000;9913.54000000000000000000;9899.19000000000000000000;9958.88000000000000000000;;9892.57000000000000000000;9950.70000000000000000000;18386612865.00000000000000000000;20392152796.00000000000000000000;31518018619.00000000000000000000;744746948.00000000000000000000;15700043706.00000000000000000000;;6415863247.00000000000000000000;2489288023.00000000000000000000;95646726204.00000000000000000000;16472.55000000000000000000;-0.00605356591555095000;-0.00298609238179412000;-0.00260026969040341000;-0.00295848615586957000;-0.00193274408785624000;;-0.00372112906428177000;-0.00130103681508586000;0.19223462835292600000;0.21320283093126100000;0.32952532585147600000;0.00778643428329755000;0.16414616923232900000;0.00000000000000000000;0.06707875430379010000;0.02602585704492100000;-0.00328096095679256000;;;
09-10-2002;9738.79000000000000000000;9811.32000000000000000000;9820.27000000000000000000;9791.76000000000000000000;9865.45000000000000000000;;9776.76000000000000000000;9899.60000000000000000000;18145132438.00000000000000000000;20185374555.00000000000000000000;31218816191.00000000000000000000;736665096.00000000000000000000;15552645238.00000000000000000000;;6340587010.00000000000000000000;2476390431.00000000000000000000;94655610959.00000000000000000000;16474.75000000000000000000;-0.01335034620383660000;-0.01031966536382580000;-0.00958642919690498000;-0.01104526654916790000;-0.00955940783007650000;;-0.01190937610848390000;-0.00528209477426192000;0.19169632158266400000;0.21325069217231400000;0.32981474499723400000;0.00778258244320124000;0.16430769481522500000;0.00000000000000000000;0.06698585478198880000;0.02616210920737330000;-0.01051422918272370000;;;
10-10-2002;9728.65000000000000000000;9802.22000000000000000000;9816.18000000000000000000;9783.31000000000000000000;9864.32000000000000000000;;9764.19000000000000000000;9883.89000000000000000000;18126249370.00000000000000000000;20153128577.00000000000000000000;31204041818.00000000000000000000;736029121.00000000000000000000;15550922047.00000000000000000000;;6332377454.00000000000000000000;2472460377.00000000000000000000;94575208764.00000000000000000000;16478.99000000000000000000;-0.00129906996081986000;-0.00118526089454696000;-0.00067390267681337000;-0.00112067349990663000;-0.00037187814038979600;;-0.00154385966452086000;-0.00184552374583334000;0.19165962842579300000;0.21309102924942500000;0.32993891555519100000;0.00778247418767707000;0.16442915908126900000;0.00000000000000000000;0.06695599763148940000;0.02614279586915530000;-0.00094538148540634200;;;
