t;vc_C_capital;vc_C_cuprum;vc_C_habitat;vc_C_planvital;vc_C_provida;vc_C_modelo;vc_C_santa maria;vc_C_magister;vp_C_capital;vp_C_cuprum;vp_C_habitat;vp_C_planvital;vp_C_provida;vp_C_modelo;vp_C_santa maria;vp_C_magister;vp_C_total;uf;ret_vc_C_capital;ret_vc_C_cuprum;ret_vc_C_habitat;ret_vc_C_planvital;ret_vc_C_provida;ret_vc_C_modelo;ret_vc_C_sm;ret_vc_C_magister;pond_vp_C_capital;pond_vp_C_cuprum;pond_vp_C_habitat;pond_vp_C_planvital;pond_vp_C_provida;pond_vp_C_modelo;pond_vp_C_sm;pond_vp_C_magister;ret_pond_C;ret_anual_pond_C;ds_anual_pond_C;ret_riesgo_C
27-09-2002;12107.85000000000000000000;12056.03000000000000000000;11685.22000000000000000000;11990.92000000000000000000;11041.33000000000000000000;;11066.48000000000000000000;22064.89000000000000000000;2662295221479.00000000000000000000;3668233446129.00000000000000000000;5514834849741.00000000000000000000;683504837722.00000000000000000000;7722511800793.00000000000000000000;;3144695347094.00000000000000000000;662851375802.00000000000000000000;24058926878760.00000000000000000000;16448.46000000000000000000;;;;;;;;;;;;;;;;;;;;
30-09-2002;12129.64000000000000000000;12078.55000000000000000000;11714.35000000000000000000;12021.35000000000000000000;11068.19000000000000000000;;11088.02000000000000000000;22099.44000000000000000000;2665077879140.00000000000000000000;3675056085791.00000000000000000000;5540149753828.00000000000000000000;686502205696.00000000000000000000;7741145502311.00000000000000000000;;3145953821790.00000000000000000000;659440041088.00000000000000000000;24113325289644.00000000000000000000;16455.03000000000000000000;0.00139869171323821000;0.00146685274097193000;0.00209044088853789000;0.00213518916786861000;0.00203037403643557000;;0.00154517681558793000;0.00116526165791075000;0.11052303434419200000;0.15240768503087100000;0.22975469734186100000;0.02846982726147830000;0.32103185310719500000;0.00000000000000000000;0.13046536651421900000;0.02734753640018330000;0.00180449819782681000;;;
01-10-2002;12090.49000000000000000000;12032.59000000000000000000;11660.56000000000000000000;11965.29000000000000000000;11032.14000000000000000000;;11042.02000000000000000000;22026.81000000000000000000;2656555356440.00000000000000000000;3661566503944.00000000000000000000;5514736003423.00000000000000000000;683278965329.00000000000000000000;7714990429818.00000000000000000000;;3132922751349.00000000000000000000;657272688254.00000000000000000000;24021322698557.00000000000000000000;16457.22000000000000000000;-0.00336593201171866000;-0.00394543142781034000;-0.00473545993323416000;-0.00480735833464311000;-0.00339547876575288000;;-0.00429033221923033000;-0.00342500219657432000;0.11059155192147600000;0.15242984534585800000;0.22957670036023000000;0.02844468532825820000;0.32117259014556500000;0.00000000000000000000;0.13042257458775200000;0.02736205231086140000;-0.00394134618156844000;;;
02-10-2002;12044.24000000000000000000;11996.05000000000000000000;11625.71000000000000000000;11919.81000000000000000000;10983.60000000000000000000;;11010.64000000000000000000;21935.40000000000000000000;2646392564836.00000000000000000000;3650447887979.00000000000000000000;5498268312458.00000000000000000000;680571506198.00000000000000000000;7679728630132.00000000000000000000;;3124021496529.00000000000000000000;654527740962.00000000000000000000;23933958139094.00000000000000000000;16459.41000000000000000000;-0.00396571925255501000;-0.00317443641498186000;-0.00312624577565866000;-0.00394129995228694000;-0.00454264300876977000;;-0.00297898054702004000;-0.00429164107863664000;0.11057061892798100000;0.15252169602554400000;0.22972666202992400000;0.02843539301952510000;0.32087164962438200000;0.00000000000000000000;0.13052673855170600000;0.02734724182093750000;-0.00371672339534250000;;;
03-10-2002;12063.69000000000000000000;12023.48000000000000000000;11652.17000000000000000000;11948.43000000000000000000;11008.26000000000000000000;;11038.23000000000000000000;21957.01000000000000000000;2650882885729.00000000000000000000;3658450442289.00000000000000000000;5510808509523.00000000000000000000;682190568022.00000000000000000000;7695721956607.00000000000000000000;;3131971814074.00000000000000000000;654434917128.00000000000000000000;23984461093372.00000000000000000000;16461.60000000000000000000;0.00148053155741625000;0.00215093000571793000;0.00214035814750139000;0.00226512134428808000;0.00210960316547395000;;0.00236957815353129000;0.00085163483840055500;0.11052501348306500000;0.15253419403698800000;0.22976578410785700000;0.02844302256224220000;0.32086282558725800000;0.00000000000000000000;0.13058337237101800000;0.02728578785157070000;0.00205749237718600000;;;
04-10-2002;12068.76000000000000000000;12046.74000000000000000000;11663.51000000000000000000;11954.47000000000000000000;11015.21000000000000000000;;11044.83000000000000000000;21969.94000000000000000000;2649636536115.00000000000000000000;3664851682661.00000000000000000000;5513440070654.00000000000000000000;682541065179.00000000000000000000;7700486573666.00000000000000000000;;3133842100639.00000000000000000000;654788901530.00000000000000000000;23999586930444.00000000000000000000;16463.79000000000000000000;0.00028715309437422100;0.00179965120211676000;0.00083970798370235000;0.00037234998206056200;0.00049811684872999700;;0.00046471522811487200;0.00045567663603381600;0.11040342251698800000;0.15270478168155700000;0.22973062355752800000;0.02843970053139460000;0.32085912961684200000;0.00000000000000000000;0.13057900161871800000;0.02728334047697240000;0.00074295395887585500;;;
07-10-2002;12072.28000000000000000000;12044.94000000000000000000;11653.79000000000000000000;11942.57000000000000000000;11005.92000000000000000000;;11038.88000000000000000000;21966.63000000000000000000;2649415072022.00000000000000000000;3622678584941.00000000000000000000;5508966717560.00000000000000000000;681860194687.00000000000000000000;7693030273792.00000000000000000000;;3132264239872.00000000000000000000;654423540674.00000000000000000000;23942638623548.00000000000000000000;16470.36000000000000000000;-0.00010735838153758400;-0.00054840714666762100;-0.00123269375310875000;-0.00139491729421355000;-0.00124271310126060000;;-0.00093783671232670500;-0.00054964971862748900;0.11065677069595200000;0.15130657242506400000;0.23009020869328200000;0.02847890766794510000;0.32131087950455800000;0.00000000000000000000;0.13082368610748500000;0.02733297490571330000;-0.00095522607837536600;;;
08-10-2002;12083.78000000000000000000;12048.89000000000000000000;11664.84000000000000000000;11957.08000000000000000000;11008.25000000000000000000;;11047.95000000000000000000;22010.11000000000000000000;2651299473523.00000000000000000000;3622247318882.00000000000000000000;5509177332587.00000000000000000000;682277566632.00000000000000000000;7694470434733.00000000000000000000;;3134740452624.00000000000000000000;655704922780.00000000000000000000;23949917501761.00000000000000000000;16472.55000000000000000000;0.00081918481268417500;0.00019492748772420500;0.00081478285068402100;0.00108128658339077000;0.00007872455122740650;;0.00068834667444584100;0.00184445232194672000;0.11070182071934300000;0.15124258021413500000;0.23002907346891400000;0.02848767919897150000;0.32127335863128700000;0.00000000000000000000;0.13088731735270100000;0.02737817041464910000;0.00050427935659722500;;;
09-10-2002;12068.38000000000000000000;12019.13000000000000000000;11649.52000000000000000000;11939.65000000000000000000;10992.84000000000000000000;;11030.90000000000000000000;21996.61000000000000000000;2648029141142.00000000000000000000;3610588577023.00000000000000000000;5499008622163.00000000000000000000;681206388149.00000000000000000000;7676506784197.00000000000000000000;;3127495408019.00000000000000000000;655298698176.00000000000000000000;23898133618869.00000000000000000000;16474.75000000000000000000;-0.00140879503560308000;-0.00260653899471738000;-0.00144775829139992000;-0.00159232385795228000;-0.00153438651815874000;;-0.00167801140925075000;-0.00074708928159627500;0.11080485126467000000;0.15108244997727500000;0.23010201172451400000;0.02850458529578000000;0.32121783678269900000;0.00000000000000000000;0.13086776808167400000;0.02742049687338770000;-0.00166137973364095000;;;
10-10-2002;12074.39000000000000000000;12037.43000000000000000000;11660.91000000000000000000;11940.38000000000000000000;11006.84000000000000000000;;11029.01000000000000000000;21991.97000000000000000000;2649566298654.00000000000000000000;3616280987189.00000000000000000000;5504292168005.00000000000000000000;680483152898.00000000000000000000;7684931033686.00000000000000000000;;3126918556157.00000000000000000000;655120736910.00000000000000000000;23917592933499.00000000000000000000;16478.99000000000000000000;0.00024054120095902600;0.00126408439769065000;0.00071991459891859100;-0.00019619147717479900;0.00101541552833956000;;-0.00042868198964543700;-0.00046829427526045300;0.11077896952343500000;0.15119753050584100000;0.23013570735605600000;0.02845115538131410000;0.32130871426122800000;0.00000000000000000000;0.13073717597130900000;0.02739074700081700000;0.00063525978202852500;;;
