t;vc_E_capital;vc_E_cuprum;vc_E_habitat;vc_E_planvital;vc_E_provida;vc_E_modelo;vc_E_santa maria;vc_E_magister;vp_E_capital;vp_E_cuprum;vp_E_habitat;vp_E_planvital;vp_E_provida;vp_E_modelo;vp_E_santa maria;vp_E_magister;vp_E_total;uf;ret_vc_E_capital;ret_vc_E_cuprum;ret_vc_E_habitat;ret_vc_E_planvital;ret_vc_E_provida;ret_vc_E_modelo;ret_vc_E_sm;ret_vc_E_magister;pond_vp_E_capital;pond_vp_E_cuprum;pond_vp_E_habitat;pond_vp_E_planvital;pond_vp_E_provida;pond_vp_E_modelo;pond_vp_E_sm;pond_vp_E_magister;ret_pond_E;ret_anual_pond_E;ds_anual_pond_E;ret_riesgo_E
27-09-2002;13825.35000000000000000000;13921.67000000000000000000;12264.58000000000000000000;13541.19000000000000000000;13447.69000000000000000000;;13458.55000000000000000000;23756.11000000000000000000;18140552226.00000000000000000000;85964558804.00000000000000000000;80118467918.00000000000000000000;1461916262.00000000000000000000;35880501473.00000000000000000000;;12298416461.00000000000000000000;15285906941.00000000000000000000;249150320085.00000000000000000000;16448.46000000000000000000;;;;;;;;;;;;;;;;;;;;
30-09-2002;13816.30000000000000000000;13931.11000000000000000000;12275.85000000000000000000;13554.47000000000000000000;13451.67000000000000000000;;13444.33000000000000000000;23729.38000000000000000000;18128680411.00000000000000000000;86070355379.00000000000000000000;80383364508.00000000000000000000;1463349641.00000000000000000000;35919427308.00000000000000000000;;12256679013.00000000000000000000;15176882115.00000000000000000000;249398738375.00000000000000000000;16455.03000000000000000000;-0.00105415872011110000;0.00027850003745766500;0.00051913463806727000;0.00058088112089436600;-0.00010343191668777600;;-0.00145648572867317000;-0.00152516745070958000;0.07268954337588280000;0.34511143055416400000;0.32230862526310900000;0.00586751019886750000;0.14402409387488900000;0.00000000000000000000;0.04914491185023820000;0.06085388488284890000;0.00001092921245090110;;;
01-10-2002;13806.25000000000000000000;13901.08000000000000000000;12213.15000000000000000000;13521.15000000000000000000;13373.07000000000000000000;;13365.01000000000000000000;23693.61000000000000000000;18115495749.00000000000000000000;85889894310.00000000000000000000;79972477875.00000000000000000000;1459752544.00000000000000000000;35712774618.00000000000000000000;;12188067956.00000000000000000000;15154006905.00000000000000000000;248492469957.00000000000000000000;16457.22000000000000000000;-0.00086074752497135900;-0.00229101493980477000;-0.00525375875867503000;-0.00259433720179637000;-0.00599335975221911000;;-0.00605043916181765000;-0.00164163245523181000;0.07290158833438600000;0.34564385119944600000;0.32183058862443100000;0.00587443371725751000;0.14371773367691900000;0.00000000000000000000;0.04904803738362400000;0.06098376706393680000;-0.00381891280255223000;;;
02-10-2002;13806.32000000000000000000;13881.15000000000000000000;12206.11000000000000000000;13524.23000000000000000000;13347.06000000000000000000;;13363.57000000000000000000;23655.53000000000000000000;18115584015.00000000000000000000;85766738083.00000000000000000000;79923930318.00000000000000000000;1460084841.00000000000000000000;35642394282.00000000000000000000;;12186751844.00000000000000000000;15129646439.00000000000000000000;248225129822.00000000000000000000;16459.41000000000000000000;-0.00012799328491484900;-0.00156779372713720000;-0.00070965750465611900;0.00009470189509915560;-0.00207991086996276000;;-0.00024081327149026600;-0.00174154073017174000;0.07298045942403380000;0.34551996465669100000;0.32198162359835500000;0.00588209921391526000;0.14358898435286900000;0.00000000000000000000;0.04909556035981940000;0.06095130839431660000;-0.00119560900952522000;;;
03-10-2002;13813.45000000000000000000;13924.45000000000000000000;12234.61000000000000000000;13568.66000000000000000000;13385.35000000000000000000;;13425.94000000000000000000;23676.96000000000000000000;18144041757.00000000000000000000;86034174637.00000000000000000000;80103352786.00000000000000000000;1464881662.00000000000000000000;35793925460.00000000000000000000;;12243642236.00000000000000000000;15143355062.00000000000000000000;248927373600.00000000000000000000;16461.60000000000000000000;0.00038325111642891600;0.00298143731779919000;0.00219912884128654000;0.00314678449461582000;0.00273164369416608000;;0.00452326284803764000;0.00077246341695038400;0.07288889724982820000;0.34561958129702500000;0.32179407040512000000;0.00588477530941981000;0.14379264498856200000;0.00000000000000000000;0.04918560003639550000;0.06083443071364970000;0.00244682465103905000;;;
04-10-2002;13830.82000000000000000000;13937.21000000000000000000;12249.21000000000000000000;13591.39000000000000000000;13380.03000000000000000000;;13421.40000000000000000000;23639.73000000000000000000;18166292260.00000000000000000000;86342189118.00000000000000000000;80170062418.00000000000000000000;1441067056.00000000000000000000;35779611997.00000000000000000000;;12239505391.00000000000000000000;15119455250.00000000000000000000;249258183490.00000000000000000000;16463.79000000000000000000;0.00112365208389946000;0.00078292606544872400;0.00105959645769176000;0.00154075425011524000;-0.00053055649152064900;;-0.00047123659295042700;-0.00170668028056226000;0.07288142762513880000;0.34639660736139500000;0.32163462517256300000;0.00578142324485733000;0.14354438235900700000;0.00000000000000000000;0.04910372538075980000;0.06065780885628010000;0.00049998560048626800;;;
07-10-2002;13839.52000000000000000000;13925.37000000000000000000;12246.75000000000000000000;13573.41000000000000000000;13394.39000000000000000000;;13418.15000000000000000000;23695.36000000000000000000;18177661589.00000000000000000000;106206516904.00000000000000000000;80152843719.00000000000000000000;1439160425.00000000000000000000;35817849562.00000000000000000000;;12236541652.00000000000000000000;15155038393.00000000000000000000;269185612244.00000000000000000000;16470.36000000000000000000;0.00022985422678362200;-0.00124886341886988000;-0.00059982741272872300;-0.00172275009932893000;0.00067368776336261700;;-0.00064115788436662200;0.00195149926411052000;0.06752835501669780000;0.39454752435925300000;0.29776050454861000000;0.00534634972873472000;0.13306004456706800000;0.00000000000000000000;0.04545763627555370000;0.05629958550408300000;-0.00049466562833650800;;;
08-10-2002;13870.05000000000000000000;13963.07000000000000000000;12269.48000000000000000000;13595.42000000000000000000;13441.83000000000000000000;;13454.55000000000000000000;23755.66000000000000000000;18217768665.00000000000000000000;106534810496.00000000000000000000;80139051634.00000000000000000000;1405345032.00000000000000000000;35943865177.00000000000000000000;;12269640570.00000000000000000000;15143930375.00000000000000000000;269654411949.00000000000000000000;16472.55000000000000000000;0.00207061442671609000;0.00257067353179376000;0.00172132507924586000;0.00148728214085879000;0.00340256667197063000;;0.00257611342301519000;0.00240861220554763000;0.06755969069197190000;0.39507905591453500000;0.29719169456480800000;0.00521165228427931000;0.13329603961309600000;0.00000000000000000000;0.04550135294029820000;0.05616051399101230000;0.00238085826421822000;;;
09-10-2002;13904.53000000000000000000;13976.94000000000000000000;12291.85000000000000000000;13634.29000000000000000000;13472.56000000000000000000;;13479.01000000000000000000;23831.57000000000000000000;18237490786.00000000000000000000;106639548579.00000000000000000000;80167755019.00000000000000000000;1409363340.00000000000000000000;35910634841.00000000000000000000;;12260839229.00000000000000000000;15117254684.00000000000000000000;269742886478.00000000000000000000;16474.75000000000000000000;0.00234930049726563000;0.00085929492666397200;0.00168801649479953000;0.00272142514634405000;0.00214999118834930000;;0.00168277524372118000;0.00305680779992876000;0.06761064591591160000;0.39533776023301100000;0.29720062710731900000;0.00522483969235254000;0.13312912644289100000;0.00000000000000000000;0.04545380005785610000;0.05604320055065830000;0.00154847629751542000;;;
10-10-2002;13912.95000000000000000000;14020.50000000000000000000;12306.48000000000000000000;13633.09000000000000000000;13459.44000000000000000000;;13450.70000000000000000000;23804.36000000000000000000;18248545586.00000000000000000000;106981946682.00000000000000000000;80253696123.00000000000000000000;1402863275.00000000000000000000;35860744195.00000000000000000000;;12235088752.00000000000000000000;15098767415.00000000000000000000;270081652028.00000000000000000000;16478.99000000000000000000;0.00034804433960384800;0.00285438515288150000;0.00093218135710461600;-0.00034534768616881200;-0.00123163616463102000;;-0.00235984177627864000;-0.00139974553272731000;0.06756677267402130000;0.39610964269023700000;0.29714605016811700000;0.00519421909806210000;0.13277741722078300000;0.00000000000000000000;0.04530144369352260000;0.05590445445525740000;0.00108067619390729000;;;
